"","AS_3rd_LPS_7B4_IL10R_32_cont6_48h_6.normalized","AS_3rd_LPS_7B4_IL10R_38_cont2_48h_2.normalized","AS_3rd_LPS_7B4_IL10R_42_cont3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_46_cont4_48h_4.normalized","AS_3rd_LPS_7B4_IL10R_54_cont5_48h_5.normalized","AS_3rd_LPS_7B4_IL10R_10_mut3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_48_mut1_48h_1.normalized","AS_3rd_LPS_7B4_IL10R_8_mut2_48h_2.normalized"
"Fbxo18",127,143,135,193,134,91,102,120
"Fbxo21",5,14,10,12,6,8,12,6
"Fbxo22",33,32,36,39,22,34,65,53
"Fbxo25",16,19,18,14,15,13,25,22
"Fbxo28",41,39,26,32,28,36,43,38
"Fbxo3",14,10,10,19,15,16,23,19
"Fbxo30",9,1,2,5,8,8,12,10
"Fbxo31",8,8,7,7,6,10,3,13
"Fbxo33",128,69,39,80,92,57,73,62
"Fbxo34",20,30,46,24,28,17,20,14
"Fbxo36",1,0,2,2,4,4,2,3
"Fbxo38",39,44,35,43,31,34,46,32
"Fbxo4",21,32,32,27,25,33,48,51
"Fbxo42",19,21,14,22,20,18,9,11
"Fbxo44",8,3,6,4,9,6,12,8
"Fbxo45",17,18,9,8,22,14,10,16
"Fbxo46",11,13,8,11,8,16,14,16
"Fbxo48",2,1,5,3,2,0,0,1
"Fbxo5",15,13,19,18,22,10,9,11
"Fbxo6",59,69,87,64,61,77,70,55
"Fbxo7",59,54,77,53,48,45,62,55
"Fbxo8",27,28,20,37,29,31,20,34
"Fbxo9",24,34,29,31,30,13,28,25
"Fbxw10",4,8,5,10,3,1,2,0
"Fbxw11",87,84,95,98,96,70,85,71
"Fbxw17",12,9,11,13,17,12,17,13
"Fbxw2",43,46,31,49,44,51,63,57
"Fbxw4",139,144,195,177,157,50,20,45
"Fbxw5",71,88,102,77,72,96,91,71
"Fbxw7",46,38,31,39,34,47,31,39
"Fbxw8",5,4,6,8,3,11,5,5
"Fbxw9",21,20,32,17,15,13,24,20
"Fcer1g",1430,1287,1707,1721,1743,1364,1233,1563
"Fcf1",38,28,26,26,32,76,99,87
"Fcgr1",562,470,710,484,731,517,609,488
"Fcgr2b",368,379,630,694,601,313,207,307
"Fcgr3",3263,3308,3571,4129,3340,3858,2243,3571
"Fcgr4",272,364,462,419,356,294,340,502
"Fcgrt",162,133,192,201,197,111,38,54
"Fcho1",6,6,1,1,2,3,2,2
"Fcho2",85,57,37,56,93,76,56,52
"Fchsd1",14,6,11,5,9,10,15,7
"Fchsd2",142,106,137,143,146,42,52,35
"Fcnb",0,0,0,0,0,0,0,0
"Fcor",2,2,1,1,2,5,3,2
"Fcrl1",37,36,28,50,29,25,6,14
"Fcrla",0,1,0,1,0,0,4,0
"Fcrls",1437,887,1718,1360,2500,1499,649,1137
"Fdps",42,40,55,21,23,24,22,21
"Fdx1",28,34,29,22,15,38,37,44
"Fdxacb1",12,9,18,8,9,10,13,13
"Fdxr",36,25,26,26,39,36,18,38
"Fech",41,40,50,56,43,42,57,36
"Fem1a",9,10,8,7,5,13,25,12
"Fem1b",15,7,13,10,17,16,13,10
"Fem1c",7,5,5,6,12,6,4,4
"Fen1",47,43,56,39,67,38,49,48
"Fer",12,8,21,11,17,4,6,3
"Fermt3",445,637,554,539,449,565,392,407
"Fes",365,444,467,436,412,438,272,367
"Fez2",163,184,161,215,182,186,137,180
"Fgd2",1177,1030,1279,1181,1485,533,296,475
"Fgd3",69,69,78,48,75,74,69,73
"Fgd4",14,12,3,17,19,21,12,18
