"","AS_3rd_LPS_7B4_IL10R_32_cont6_48h_6.normalized","AS_3rd_LPS_7B4_IL10R_38_cont2_48h_2.normalized","AS_3rd_LPS_7B4_IL10R_42_cont3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_46_cont4_48h_4.normalized","AS_3rd_LPS_7B4_IL10R_54_cont5_48h_5.normalized","AS_3rd_LPS_7B4_IL10R_10_mut3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_48_mut1_48h_1.normalized","AS_3rd_LPS_7B4_IL10R_8_mut2_48h_2.normalized"
"AC163040.2",4,1,3,3,1,1,0,2
"AC163282.1",2,4,4,6,3,8,6,5
"AC163350.2",2,1,1,6,2,1,1,0
"AC163354.1",1,0,0,0,0,0,2,0
"AC164702.2",2,1,2,4,0,5,2,4
"AC165247.1",28,21,26,39,30,28,9,10
"AC165281.1",3,6,1,3,6,0,0,0
"AC166051.1",0,0,1,1,1,2,2,3
"AC166323.1",3,1,1,3,3,8,4,5
"AC167202.2",0,0,0,1,0,0,0,0
"AC171206.4",0,0,0,2,1,0,1,0
"AC173482.2",0,1,1,1,0,3,1,2
"AI314180",27,19,17,24,22,12,16,30
"AI413582",92,121,133,139,87,50,65,60
"AI429214",5,8,8,12,9,6,9,11
"AI467606",50,58,83,73,47,56,22,31
"AI480526",16,16,15,11,16,2,17,7
"AI504432",16,6,8,2,11,20,72,56
"AI506816",2,2,5,8,4,1,5,5
"AI597479",11,10,14,8,15,11,18,13
"AI606181",8,3,8,12,8,15,9,10
"AI661453",2,2,1,2,1,7,4,0
"AI662270",11,5,5,8,12,8,5,6
"AI837181",84,74,99,95,115,81,87,81
"AI987944",40,32,29,32,56,51,37,46
"AL513022.1",0,0,0,0,0,0,6,1
"AL589661.1",1,2,2,3,0,0,0,0
"AL591582.1",2,5,2,2,6,1,1,1
"AL603745.2",1,0,1,0,5,3,2,0
"AL607105.1",4,7,7,18,8,10,8,10
"AU019823",31,28,7,29,21,42,50,53
"AU019990",0,0,0,1,0,2,5,1
"AU020206",272,135,307,250,401,293,278,180
"AU022252",10,9,14,7,12,5,10,6
"AU040320",64,118,107,115,81,51,33,51
"AU041133",3,2,2,2,3,4,1,2
"AV356131",4,3,5,7,2,2,2,3
"AW046200",1,2,2,4,3,0,2,1
"AW112010",59,76,26,39,52,516,789,1496
"AW146154",15,4,8,7,8,8,5,9
"AW209491",21,10,8,7,12,16,17,14
"AW549877",44,28,16,37,54,57,41,40
"AW554918",14,13,17,7,11,14,19,16
"AW822252",2,1,1,2,1,1,2,0
"AY036118",0,0,1,0,0,0,0,0
"Aaas",24,17,32,22,34,22,31,23
"Aacs",4,12,9,7,6,6,11,10
"Aaed1",21,21,23,24,16,13,23,18
"Aagab",5,2,1,1,1,4,0,1
"Aak1",36,20,29,25,28,40,43,30
"Aamdc",19,21,21,15,17,11,12,17
"Aamp",151,178,198,157,156,140,112,161
"Aar2",22,30,32,18,20,26,33,34
"Aars",2,1,0,2,1,0,3,1
"Aars2",28,32,25,27,27,24,23,22
"Aarsd1",5,2,1,2,4,1,6,2
"Aasdh",23,17,21,22,16,2,10,9
"Aasdhppt",2,2,1,2,2,0,1,1
"Aatf",40,31,32,26,30,46,59,48
"Aatk",9,6,12,15,6,7,4,6
"Abca1",191,179,93,201,269,195,249,297
"Abca2",56,64,57,90,74,54,77,40
"Abca3",119,144,120,121,98,81,71,69
"Abca4",0,0,0,0,0,0,0,0
"Abca6",0,1,2,0,0,4,1,0
"Abca7",136,221,161,165,167,118,121,83
"Abca9",62,82,66,102,60,24,11,15
"Abcb10",15,16,17,17,17,15,30,27
"Abcb1b",38,32,38,27,38,19,48,30
"Abcb4",14,18,21,16,20,14,23,14
"Abcb7",18,20,5,10,29,21,22,18
"Abcb8",46,47,45,47,26,35,26,32
"Abcb9",3,5,5,7,4,9,5,4
"Abcc1",26,30,21,15,14,23,31,23
"Abcc10",27,28,45,32,22,33,26,24
"Abcc3",80,106,95,97,48,23,15,18
"Abcc4",20,22,21,12,17,15,33,18
"Abcc5",104,171,171,146,143,77,163,107
"Abcd1",167,201,144,206,166,197,100,132
"Abcd2",17,6,10,29,16,10,3,6
"Abcd3",56,40,47,36,42,46,36,57
"Abcd4",41,50,41,48,57,30,20,29
"Abce1",63,53,32,46,68,77,96,98
"Abcf1",137,169,107,112,117,134,172,206
"Abcf2",8,10,15,11,9,15,16,27
"Abcf3",35,52,35,42,44,48,55,68
"Abcg1",124,156,117,148,204,217,147,153
"Abcg2",59,45,40,52,63,55,66,75
"Abcg3",0,3,2,2,2,0,0,1
"Abhd1",14,18,14,12,12,16,12,13
"Abhd10",12,9,20,7,9,11,14,10
"Abhd11",127,98,153,88,91,173,195,180
"Abhd11os",3,5,5,2,6,0,1,1
"Abhd12",950,1051,1315,1250,1215,499,292,389
"Abhd13",5,3,4,6,7,5,5,8
"Abhd14a",24,21,29,28,15,10,5,11
"Abhd14b",29,22,23,32,19,23,8,15
"Abhd15",37,45,46,57,34,98,86,72
"Abhd16a",137,174,200,159,184,125,83,132
"Abhd17a",92,117,110,92,130,98,94,79
"Abhd17b",31,30,29,32,41,37,43,48
"Abhd17c",25,32,48,27,24,13,31,18
"Abhd18",20,17,14,24,19,26,21,13
"Abhd2",6,5,5,7,8,21,23,20
"Abhd3",4,12,5,6,10,12,11,11
"Abhd4",55,41,56,55,62,65,27,43
"Abhd5",23,17,11,17,26,33,27,22
"Abhd6",63,69,69,90,60,40,33,23
"Abhd8",14,21,20,18,28,16,20,16
"Abi1",132,106,118,127,129,115,138,111
"Abi2",28,15,19,17,14,20,23,21
"Abi3",972,777,1087,935,1031,644,288,446
"Abl1",104,169,132,121,98,56,50,46
"Abl2",56,46,36,78,42,105,74,69
"Ablim1",16,13,20,15,17,11,1,1
"Abr",103,114,155,139,102,103,106,72
"Abracl",57,47,41,41,50,52,74,72
"Abraxas1",18,20,15,20,19,14,15,21
"Abraxas2",69,75,65,67,78,59,70,62
"Abtb1",58,52,46,58,60,66,30,31
"Abtb2",2,2,1,1,1,12,6,14
"Acaa1a",128,174,150,118,140,68,43,70
"Acaa2",42,35,29,31,28,42,33,26
"Acaca",11,12,11,9,12,25,20,16
"Acad10",8,11,14,22,10,10,1,6
"Acad11",20,13,16,15,11,7,6,10
"Acad12",8,6,5,9,6,7,1,2
"Acad8",10,21,12,17,11,16,16,24
"Acad9",6,2,4,5,5,6,6,4
"Acadl",53,51,64,55,82,111,126,88
"Acadm",66,48,67,67,61,66,39,58
"Acads",86,62,77,67,107,94,76,63
"Acadsb",42,27,31,42,30,29,21,30
"Acadvl",79,85,81,82,69,90,61,73
"Acap1",2,5,0,0,0,0,0,0
"Acap2",91,105,117,94,94,73,62,51
"Acap3",28,34,35,23,27,25,22,20
"Acat1",21,27,16,17,29,18,18,22
"Acat2",13,9,14,6,21,14,9,10
"Acbd3",31,36,32,47,39,24,25,30
"Acbd4",26,20,13,16,17,26,33,29
"Acbd5",12,11,11,16,19,15,16,23
"Acbd6",60,46,65,61,43,69,67,71
"Accs",79,93,80,80,79,44,43,34
"Acd",47,46,63,45,39,36,36,51
"Ace",1,0,4,0,3,0,1,0
"Acer3",144,120,156,139,145,158,94,127
"Ache",10,8,11,8,22,13,4,0
"Acin1",161,180,159,171,143,134,125,120
"Acly",91,108,111,126,106,71,95,84
"Aco1",46,64,67,70,36,51,50,56
"Aco2",143,190,207,156,133,123,132,140
"Acod1",23,20,20,2,11,48,998,424
"Acot1",3,1,4,2,4,14,7,12
"Acot10",0,0,0,0,0,6,0,1
"Acot11",4,7,3,6,5,3,9,6
"Acot13",45,37,41,60,70,29,22,27
"Acot2",3,9,7,7,3,15,10,11
"Acot6",2,1,1,1,2,2,3,1
"Acot7",10,17,14,14,24,9,5,8
"Acot8",34,32,41,32,25,39,54,46
"Acot9",36,24,25,27,32,32,42,38
"Acox1",65,65,52,68,39,36,37,43
"Acox3",218,213,198,281,196,174,102,101
"Acp1",2,0,3,2,1,2,6,2
"Acp2",335,313,298,320,283,99,172,195
"Acp5",29,42,30,37,12,15,30,27
"Acp6",56,99,80,53,41,28,36,38
"Acrbp",63,67,80,91,77,28,10,14
"Acsbg1",1,1,0,1,1,2,9,7
"Acsf2",2,2,1,0,0,5,1,2
"Acsf3",24,15,16,12,25,22,22,13
"Acsl1",50,43,37,53,38,72,81,67
"Acsl3",6,8,7,9,7,7,6,3
"Acsl4",65,60,57,42,54,51,88,74
"Acsl5",30,36,38,30,34,37,45,50
"Acss1",104,96,131,120,122,109,100,90
"Acss2",4,2,5,2,3,2,1,4
"Actb",8912,10271,6979,8264,8152,6643,6502,9320
"Actg1",14,13,5,4,6,9,5,8
"Actl6a",75,65,86,67,91,81,82,79
"Actn1",45,75,58,80,48,28,42,19
"Actn3",0,0,0,0,0,0,2,2
"Actn4",180,230,181,161,254,230,246,215
"Actr10",56,46,59,41,54,64,80,67
"Actr1a",98,113,84,86,86,119,137,102
"Actr1b",34,28,27,39,28,49,37,38
"Actr2",271,239,207,241,323,275,316,328
"Actr3",220,194,222,232,244,313,346,320
"Actr5",17,20,10,22,21,22,22,22
"Actr6",7,6,5,4,9,13,11,12
"Actr8",47,55,49,46,47,53,53,46
"Acvr1",41,43,44,55,39,18,26,32
"Acvr1b",41,61,62,58,30,37,46,53
"Acvr2a",7,6,2,4,4,5,12,10
"Acvr2b",29,34,31,52,44,52,17,38
"Acvrl1",43,57,50,51,57,18,16,17
"Acy1",24,32,38,27,17,26,7,30
"Acyp1",16,21,15,20,15,5,1,9
"Acyp2",1,1,1,2,3,1,4,6
"Ada",11,11,13,13,10,10,6,6
"Adal",8,13,7,11,16,6,6,11
"Adam10",152,143,66,144,160,96,46,102
"Adam15",519,611,531,571,523,316,173,246
"Adam17",217,219,243,221,188,167,137,153
"Adam22",1,5,1,2,1,0,2,2
"Adam3",11,5,3,5,4,8,21,13
"Adam33",5,6,8,5,4,1,5,3
"Adam8",12,19,17,22,17,84,63,122
"Adam9",80,91,95,99,84,115,75,129
"Adamts1",56,45,59,28,47,125,68,116
"Adamts10",37,66,35,46,49,87,50,43
"Adamts16",3,6,4,4,1,1,1,0
"Adamts4",0,0,0,0,0,0,2,0
"Adamts6",2,0,3,6,4,3,2,1
"Adamtsl2",6,9,8,18,11,5,1,2
"Adamtsl4",37,98,86,171,55,162,81,165
"Adap1",92,94,106,82,75,96,97,63
"Adap2",352,325,159,291,267,335,469,557
"Adap2os",56,31,11,11,70,54,90,75
"Adar",113,87,156,117,134,116,91,114
"Adarb1",21,24,28,38,18,23,12,17
"Adat1",9,3,4,2,7,2,5,2
"Adat2",8,2,2,5,7,12,13,12
"Adat3",5,2,8,9,6,14,13,15
"Adck1",33,38,50,42,30,25,38,40
"Adck2",18,20,17,24,12,15,18,12
"Adck5",65,69,58,43,64,47,42,69
"Adcy3",3,1,8,4,6,2,5,4
"Adcy4",2,6,2,2,2,1,1,0
"Adcy6",23,18,21,19,20,19,20,17
"Adcy7",230,259,314,345,235,156,142,122
"Adcy8",1,2,1,1,0,0,1,0
"Adcy9",15,14,11,16,18,15,16,11
"Add1",98,142,141,151,114,65,32,63
"Add3",27,22,27,32,35,21,14,14
"Adgb",21,19,27,36,14,10,12,10
"Adgra3",15,13,18,13,14,11,13,9
"Adgre1",783,1010,1191,924,839,217,527,400
"Adgre4",2,3,0,3,3,0,0,0
"Adgre5",4,1,5,2,2,11,3,7
"Adgrg1",630,653,802,832,844,145,86,90
"Adgrg3",0,2,2,0,0,0,2,6
"Adgrl1",35,38,50,39,43,45,31,25
"Adgrl2",8,9,12,11,7,4,2,2
"Adh5",124,91,127,96,121,165,128,140
"Adhfe1",1,0,1,0,0,0,4,5
"Adi1",33,28,26,46,43,37,25,23
"Adipor1",26,22,11,22,18,62,44,23
"Adipor2",98,94,92,114,105,92,51,75
"Adk",12,4,14,7,16,4,9,6
"Adnp",17,20,6,33,21,5,10,10
"Adnp2",7,13,6,12,6,10,4,6
"Ado",16,3,12,7,11,15,13,17
"Adora1",64,18,56,55,111,13,6,4
"Adora2a",0,1,0,0,0,2,12,2
"Adora2b",0,0,0,0,0,3,2,8
"Adora3",343,253,276,308,358,339,318,400
"Adpgk",54,84,83,59,54,65,54,62
"Adprh",125,191,200,133,101,181,145,184
"Adprhl2",59,38,62,43,65,88,92,79
"Adprm",26,22,27,22,17,19,23,18
"Adra2a",0,0,0,1,1,0,3,2
"Adrb1",53,117,77,127,94,86,82,52
"Adrb2",27,55,60,65,37,32,15,26
"Adrm1",59,22,29,28,50,65,68,75
"Adsl",47,50,48,38,42,69,78,96
"Adss",28,24,22,33,33,40,45,47
"Adssl1",31,43,49,55,32,96,34,59
"Adtrp",0,1,0,1,1,0,1,0
"Aebp1",0,0,0,0,0,1,1,5
"Aebp2",50,48,53,38,48,47,65,44
"Aen",5,6,5,2,12,1,8,6
"Aes",131,159,203,188,223,97,64,67
"Afap1",6,7,5,5,6,6,7,6
"Afap1l1",37,71,42,65,39,121,85,89
"Afdn",14,16,11,21,14,17,20,22
"Aff1",36,36,45,66,45,59,123,64
"Aff4",47,46,49,51,44,62,50,48
"Afg1l",4,6,6,12,8,6,4,4
"Afg3l1",28,36,28,26,34,32,22,30
"Afg3l2",53,96,68,58,44,48,64,78
"Afm",2,2,0,3,4,1,0,0
"Afmid",2,5,2,2,1,0,0,2
"Afp",21,9,21,15,10,16,8,21
"Aftph",222,149,159,214,193,94,88,83
"Aga",101,143,122,121,104,62,60,58
"Agap1",19,17,13,26,11,15,9,17
"Agap3",55,47,59,52,63,60,52,56
"Agbl3",9,2,5,7,6,1,4,4
"Agbl5",11,7,20,19,15,7,6,5
"Ager",14,12,14,12,11,47,39,20
"Agfg1",42,28,34,32,36,37,57,62
"Agfg2",31,41,23,27,16,16,22,36
"Aggf1",38,28,30,37,28,46,53,47
"Agk",8,5,15,14,10,22,19,19
"Agl",10,9,8,6,19,12,8,4
"Agmo",25,20,6,32,26,17,18,14
"Ago1",119,106,116,102,106,55,50,46
"Ago2",31,39,26,36,28,40,31,22
"Ago3",50,35,46,61,50,23,41,36
"Ago4",8,3,6,9,15,7,2,2
"Agpat1",18,18,14,20,16,6,7,20
"Agpat2",35,58,47,40,34,79,98,111
"Agpat3",117,159,161,167,130,128,145,144
"Agpat4",10,17,11,17,8,21,7,30
"Agpat5",5,9,12,7,8,9,3,8
"Agps",27,21,15,23,18,7,21,14
"Agrn",31,25,40,50,39,16,15,22
"Agtpbp1",20,28,22,22,27,24,18,25
"Agtrap",47,43,37,39,42,85,113,135
"Ahctf1",33,31,29,24,27,47,50,46
"Ahcy",5,5,5,6,6,13,3,8
"Ahcyl1",63,40,25,53,64,34,66,59
"Ahcyl2",17,26,16,22,26,19,18,16
"Ahdc1",8,24,15,12,13,21,12,17
"Ahi1",10,10,6,7,12,12,6,6
"Ahnak",0,0,0,0,1,0,2,0
"Ahr",2,4,2,6,4,8,23,31
"Ahrr",2,2,2,2,2,3,2,3
"Ahsa1",40,49,39,32,40,51,49,52
"Ahsa2",21,14,9,10,25,13,19,11
"Aida",34,36,23,18,27,29,29,36
"Aif1",1171,905,1239,1008,1411,450,287,493
"Aifm1",18,20,20,14,17,25,14,23
"Aifm2",2,2,2,5,1,1,8,2
"Aig1",63,46,56,47,58,56,38,36
"Aim2",217,147,192,200,173,189,211,163
"Aimp1",83,76,84,82,80,123,143,161
"Aimp2",57,50,55,39,40,88,99,103
"Aip",56,43,43,67,78,74,69,63
"Ajuba",6,6,4,7,4,2,2,2
"Ak1",40,17,46,31,44,8,13,18
"Ak2",230,275,283,249,158,168,234,235
"Ak3",24,39,26,40,17,45,27,30
"Ak6",19,13,21,8,28,22,18,24
"Akap1",15,23,18,16,12,13,20,31
"Akap10",59,61,57,52,39,44,53,53
"Akap11",13,12,22,17,17,19,19,10
"Akap13",134,124,143,136,162,112,250,189
"Akap17b",5,3,0,2,5,2,4,6
"Akap5",2,1,0,1,2,0,0,1
"Akap7",19,10,6,12,16,13,14,9
"Akap8",109,98,105,83,120,91,112,113
"Akap8l",548,445,355,583,734,393,215,322
"Akap9",24,29,19,29,27,17,11,13
"Akip1",59,34,50,57,61,45,26,43
"Akirin1",69,65,58,56,49,68,106,90
"Akirin2",112,108,120,121,87,69,46,45
"Akna",74,101,92,102,58,93,66,67
"Akr1a1",640,645,767,649,737,698,578,698
"Akr1b10",233,236,253,286,239,272,270,201
"Akr1b3",14,8,10,7,16,8,12,11
"Akr1e1",2,3,2,2,5,1,1,2
"Akr7a5",27,29,29,32,35,45,28,35
"Akt1",154,211,210,236,169,248,226,193
"Akt1s1",67,96,80,73,55,89,70,68
"Akt2",21,20,21,24,19,19,13,13
"Akt3",3,6,9,5,9,7,9,6
"Aktip",6,9,17,10,8,11,7,11
"Alad",45,36,49,27,35,44,52,51
"Alas1",175,213,161,224,184,117,160,198
"Alas2",0,0,0,0,2,0,0,1
"Alb",0,1,2,2,3,0,0,0
"Alcam",0,1,0,0,0,0,2,2
"Aldh16a1",76,77,117,98,100,85,72,67
"Aldh18a1",13,11,12,7,8,7,6,14
"Aldh1b1",2,2,6,6,4,2,4,2
"Aldh1l2",5,4,6,4,4,3,1,1
"Aldh2",30,18,29,32,39,24,17,20
"Aldh3a2",46,71,56,54,56,47,59,57
"Aldh3b1",76,101,112,112,66,48,27,47
"Aldh4a1",24,42,33,23,16,13,13,27
"Aldh6a1",13,5,11,13,12,18,8,18
"Aldh7a1",28,21,38,30,17,11,15,15
"Aldh9a1",34,23,35,34,25,36,36,22
"Aldoa",275,326,322,260,256,255,158,285
"Aldoc",2,3,5,1,8,7,10,10
"Alg1",113,146,165,121,116,136,113,107
"Alg10b",7,4,6,4,5,7,23,18
"Alg11",29,19,24,16,22,20,30,39
"Alg12",8,15,21,9,7,3,3,6
"Alg13",16,17,23,13,19,8,9,10
"Alg14",3,6,7,12,6,10,2,3
"Alg2",11,27,29,13,11,6,11,20
"Alg3",69,62,98,67,71,63,45,69
"Alg5",174,211,240,234,155,324,230,274
"Alg6",38,30,40,34,34,24,19,18
"Alg8",77,65,80,72,92,43,34,43
"Alg9",14,21,23,25,25,11,15,12
"Alkbh1",136,111,108,127,129,202,272,245
"Alkbh2",50,71,47,47,57,39,19,21
"Alkbh3",46,49,65,42,61,83,72,61
"Alkbh4",29,23,27,16,20,29,15,27
"Alkbh5",17,6,9,9,8,16,19,15
"Alkbh6",90,64,85,87,83,109,90,95
"Alkbh7",24,28,38,31,40,30,13,27
"Alkbh8",27,11,16,18,20,23,31,19
"Alox5",115,210,141,204,90,138,73,121
"Alox5ap",563,648,775,688,553,470,94,261
"Aloxe3",2,9,3,4,1,4,2,1
"Alpk1",11,9,10,4,10,13,4,8
"Als2",37,28,25,35,30,24,23,26
"Als2cl",8,15,8,11,9,11,6,2
"Alyref",17,22,26,14,12,19,24,16
"Alyref2",7,5,9,5,13,5,5,9
"Ambp",1,0,2,0,1,2,1,1
"Ambra1",29,44,29,37,35,26,32,34
"Amd1",2,0,0,2,0,2,2,2
"Amdhd2",59,63,59,81,89,34,21,27
"Amer1",3,2,2,4,3,1,9,7
"Amer2",2,2,5,2,6,1,1,0
"Amfr",81,121,123,113,114,69,78,99
"Amigo1",3,1,1,2,2,1,1,0
"Amigo3",4,6,8,6,10,5,6,9
"Ammecr1",3,7,4,3,3,4,5,5
"Ammecr1l",14,14,30,17,22,17,31,22
"Amn",1,4,0,2,1,1,2,2
"Amn1",20,9,12,12,13,14,15,17
"Amotl1",15,13,13,22,12,11,9,14
"Amotl2",5,2,2,2,1,0,0,0
"Ampd1",0,0,0,0,0,0,4,2
"Ampd2",53,88,65,58,60,67,93,71
"Ampd3",24,32,32,33,18,12,10,11
"Amt",2,3,2,3,3,3,0,2
"Amz1",31,32,58,34,57,24,13,12
"Amz2",41,53,27,34,43,40,48,38
"Anapc1",17,15,20,18,14,6,5,6
"Anapc10",11,11,11,15,18,19,21,26
"Anapc11",109,137,153,149,145,103,72,67
"Anapc13",127,99,124,138,161,72,39,71
"Anapc15",69,54,59,55,50,33,71,58
"Anapc16",82,107,97,131,76,135,81,120
"Anapc2",111,105,122,95,107,122,91,91
"Anapc4",64,50,41,37,50,67,75,59
"Anapc5",218,184,229,207,272,290,186,214
"Anapc7",50,48,47,42,61,83,76,58
"Ang",72,74,81,107,85,55,25,34
"Angel1",16,29,23,22,19,6,5,6
"Angel2",82,72,66,81,70,49,61,60
"Angptl3",16,11,10,10,16,10,20,6
"Angptl4",2,5,3,2,2,4,13,6
"Angptl6",3,5,5,5,8,1,4,2
"Angptl7",3,3,2,2,4,0,0,1
"Ank",9,11,7,16,17,54,31,35
"Ank1",1,2,2,1,0,3,1,2
"Ank2",26,16,25,22,24,16,14,17
"Ankfy1",117,133,118,123,85,91,83,71
"Ankhd1",41,31,18,31,40,21,30,27
"Ankib1",22,28,21,25,29,33,36,26
"Ankle1",2,0,2,4,11,0,0,0
"Ankle2",89,83,56,101,115,79,60,59
"Ankmy2",13,11,13,16,18,14,15,16
"Ankra2",67,54,42,62,51,51,71,51
"Ankrd10",96,116,148,119,116,95,106,107
"Ankrd11",130,126,122,146,160,123,140,135
"Ankrd12",20,28,20,20,36,31,35,20
"Ankrd13a",117,140,146,137,125,92,83,87
"Ankrd13b",9,17,18,8,9,15,13,12
"Ankrd13c",24,20,20,27,33,36,35,28
"Ankrd13d",18,39,29,36,28,15,16,25
"Ankrd16",87,87,101,97,72,165,188,172
"Ankrd17",97,74,68,79,116,70,105,103
"Ankrd23",0,1,0,0,1,0,1,0
"Ankrd24",20,26,26,28,23,14,7,10
"Ankrd26",5,7,3,3,3,7,5,3
"Ankrd27",27,32,36,22,17,30,14,24
"Ankrd28",2,1,2,1,3,3,4,2
"Ankrd33b",0,1,0,1,1,3,5,2
"Ankrd37",1,1,5,2,3,3,4,5
"Ankrd39",32,43,32,26,28,34,21,22
"Ankrd40",62,76,98,55,61,51,48,63
"Ankrd44",130,89,96,127,128,124,85,80
"Ankrd46",38,35,41,41,35,34,23,26
"Ankrd49",47,38,34,26,46,65,84,83
"Ankrd50",14,19,13,15,10,15,18,11
"Ankrd52",12,10,5,11,9,7,13,10
"Ankrd54",18,17,25,21,22,29,29,37
"Ankrd66",1,3,2,1,2,2,4,3
"Ankrd9",4,6,8,4,4,7,3,4
"Anks1",66,86,89,72,58,47,47,34
"Anks3",130,158,108,121,145,145,108,100
"Anks6",10,17,11,21,16,6,6,9
"Ankzf1",45,68,57,47,52,43,22,34
"Anln",3,2,2,5,10,2,5,0
"Ano10",38,28,29,29,33,22,14,20
"Ano6",81,104,106,117,74,94,77,77
"Ano7",8,2,2,12,6,0,1,2
"Ano8",36,46,57,40,53,22,18,29
"Anp32a",76,70,97,75,83,46,43,39
"Anp32b",55,61,69,52,72,106,81,119
"Anp32e",55,39,45,38,43,73,91,101
"Anpep",7,3,2,7,12,15,9,16
"Anxa1",3,0,1,1,0,5,1,12
"Anxa2",10,7,5,7,6,41,7,14
"Anxa3",790,596,610,600,606,920,656,927
"Anxa4",12,13,26,17,17,16,13,5
"Anxa5",61,88,67,67,46,53,77,34
"Anxa6",38,41,30,42,54,46,34,51
"Anxa7",63,61,71,55,53,74,85,72
"Anxa9",6,9,8,14,6,8,7,13
"Aoah",66,84,62,81,39,33,271,169
"Aoc2",3,2,5,2,1,7,14,4
"Ap1ar",51,54,40,36,50,33,65,51
"Ap1b1",250,337,288,323,261,210,198,195
"Ap1g1",80,66,99,81,88,63,78,67
"Ap1g2",53,69,63,64,62,52,80,59
"Ap1m1",72,117,95,84,82,117,125,138
"Ap1s1",96,139,123,106,90,88,127,119
"Ap1s2",40,82,40,87,45,95,18,50
"Ap2a1",27,36,37,28,29,42,37,37
"Ap2a2",31,39,26,37,27,51,44,48
"Ap2b1",61,71,95,82,74,60,63,66
"Ap2m1",101,96,99,107,130,95,68,75
"Ap2s1",274,319,228,310,300,277,168,264
"Ap3b1",72,67,79,93,79,54,62,56
"Ap3d1",153,162,185,166,194,99,106,89
"Ap3m1",5,5,5,3,5,8,5,9
"Ap3m2",23,20,23,29,25,14,20,16
"Ap3s1",3,6,6,9,6,4,6,2
"Ap3s2",11,13,10,6,12,20,17,13
"Ap4b1",20,24,26,23,15,22,27,22
"Ap4e1",8,7,10,13,15,12,19,14
"Ap4m1",21,22,22,27,26,18,23,22
"Ap4s1",36,47,53,55,41,38,35,60
"Ap5b1",27,36,32,38,28,64,57,67
"Ap5m1",5,5,7,12,12,7,9,11
"Ap5s1",63,57,72,82,52,105,55,55
"Ap5z1",69,105,82,82,86,46,52,60
"Apaf1",24,23,20,27,27,32,20,26
"Apba1",12,11,10,13,19,13,4,6
"Apba3",14,20,24,11,7,29,24,21
"Apbb1",7,2,9,7,9,9,7,6
"Apbb1ip",452,474,490,503,475,359,379,292
"Apbb2",36,17,30,16,17,20,22,19
"Apc",10,13,9,12,20,12,14,11
"Apeh",59,63,74,67,75,54,52,60
"Apex1",88,82,92,87,91,61,50,88
"Apex2",11,16,20,14,12,19,13,9
"Aph1a",26,28,22,30,31,29,45,50
"Aph1b",1,2,0,0,2,3,3,2
"Api5",39,33,25,28,35,40,43,38
"Apip",34,26,34,37,34,10,19,21
"Apitd1",8,4,7,5,14,3,3,3
"Aplf",2,6,5,4,4,3,3,3
"Aplp1",2,0,2,7,3,4,5,7
"Aplp2",84,80,115,109,61,120,88,121
"Apmap",33,28,57,29,45,51,52,45
"Apob",2,3,1,5,9,10,2,7
"Apobec1",248,214,292,282,292,319,366,281
"Apobec2",2,1,6,4,7,17,6,8
"Apobec3",570,444,590,657,627,733,588,575
"Apobr",50,77,65,65,51,73,48,74
"Apoc1",47,75,52,65,50,12,7,14
"Apoc4",2,6,1,2,0,0,0,1
"Apod",5,1,4,0,5,5,6,4
"Apoe",12520,18183,17079,19720,16364,7993,3766,5701
"Apol8",0,0,0,1,0,1,1,0
"Apom",0,0,2,1,1,0,0,0
"Apool",11,6,3,8,15,12,17,16
"Apopt1",43,40,38,29,40,43,26,35
"App",213,284,277,298,200,322,236,387
"Appbp2",23,19,22,21,28,20,30,22
"Appl1",14,15,7,10,17,13,17,20
"Appl2",66,69,65,92,64,59,52,35
"Aprt",127,178,118,138,95,257,162,276
"Aptx",26,16,19,19,15,26,27,20
"Aqr",39,50,34,25,40,45,49,55
"Araf",84,111,123,97,89,85,93,92
"Arap1",323,324,287,349,315,278,564,305
"Arap2",8,2,3,2,4,7,10,2
"Arap3",108,108,128,116,115,60,44,39
"Arcn1",103,102,95,105,109,77,100,103
"Arel1",50,48,65,53,62,37,18,29
"Arf1",212,261,251,312,173,204,175,201
"Arf2",58,50,51,56,56,54,60,45
"Arf3",59,59,65,75,56,32,46,44
"Arf4",145,176,181,168,146,123,168,168
"Arf5",61,88,89,96,61,60,49,72
"Arf6",53,72,126,87,55,86,79,68
"Arfgap1",63,86,79,62,57,54,68,55
"Arfgap2",72,62,68,82,82,84,115,94
"Arfgap3",19,46,26,26,16,12,23,15
"Arfgef1",46,39,46,39,41,40,51,52
"Arfgef2",21,16,21,16,15,16,14,14
"Arfip1",22,15,7,11,18,23,16,17
"Arfip2",65,65,67,78,65,37,26,43
"Arfrp1",77,77,77,66,60,69,69,81
"Arg1",1,4,0,0,0,10,3,5
"Arglu1",169,157,110,195,177,155,155,140
"Arhgap1",56,49,57,55,39,66,63,58
"Arhgap11a",16,23,27,19,27,23,27,27
"Arhgap12",52,46,32,58,72,55,38,42
"Arhgap15",2,4,3,2,1,2,1,0
"Arhgap17",229,245,242,215,204,133,251,134
"Arhgap18",14,6,4,5,16,6,9,6
"Arhgap19",12,13,18,16,11,4,7,8
"Arhgap21",13,24,16,22,13,8,16,14
"Arhgap22",140,262,238,265,270,60,39,67
"Arhgap23",3,2,4,7,4,4,4,2
