"","Mutant_1","Mutant_2","Mutant_3","Control_1","Control_2","Control_3","Control_4","Control_5","Control_6"
"Col6a6",0,0,0,0,0,0,0,0,0
"Dclk3",1,0,0,0,0,0,0,0,0
"Myrip",0,0,0,0,0,0,0,0,0
"Gask1a",0,0,0,0,0,0,0,0,0
"Zscan4c",0,0,0,0,0,0,0,0,0
"Tarm1",78,69,14,5,11,5,27,13,11
"AU018091",0,0,0,0,0,0,0,0,0
"Zfp937",9,28,6,22,16,22,14,21,11
"Retnlg",21,1,21,0,29,9,2,18,17
"9930111J21Rik2",0,1,0,0,5,2,1,1,2
"Duxf4",0,0,0,0,0,0,0,0,0
"Nim1k",18,27,19,4,5,2,4,3,8
"Apol10a",0,0,0,0,0,0,0,0,0
"Gm4983",0,0,0,0,0,0,0,0,0
"Zdhhc19",0,0,0,0,0,0,0,0,0
"Gm4984",0,6,1,0,0,1,0,0,0
"Zfp300",0,0,1,0,0,3,0,0,0
"Sowahd",0,0,0,0,0,0,0,0,0
"Tmem255a",0,1,0,0,0,0,0,0,0
"Dcaf12l2",0,0,0,0,0,0,0,0,0
"Dcaf12l1",0,1,0,0,0,2,0,0,0
"Tm9sf5",0,0,0,0,0,0,0,0,0
"Gpr101",0,0,0,0,0,0,0,0,0
"Gm4988",0,0,0,0,0,0,0,0,0
"Slitrk4",0,1,0,0,0,0,0,0,0
"Slitrk2",1,0,0,0,0,0,0,0,0
"Pnma3",0,0,0,0,0,0,1,0,0
"Pdzd4",0,3,0,2,4,4,0,2,1
"Dkc1",98,103,57,44,42,56,69,57,62
"Srsf19",0,0,0,0,0,0,0,0,0
"Gm41",0,0,0,0,0,0,0,0,0
"Ppp4r3c-ps",0,0,0,0,0,0,0,0,0
"Ppp4r3c2",0,0,0,0,0,0,0,0,0
"Ppp4r3c1",0,0,0,0,0,0,0,0,0
"Zc4h2",2,9,5,9,9,14,2,3,5
"Hsf3",1,0,0,0,0,0,0,0,0
"Pgr15l",0,0,0,0,0,0,0,0,0
"Eda2r",0,0,0,0,0,0,0,0,0
"Awat2",0,1,0,2,0,4,0,4,0
"Awat1",0,0,1,0,0,0,0,0,0
"Gm614",0,5,0,0,0,0,0,0,0
"Nlgn3",0,0,0,0,0,0,0,0,0
"Nexmif",0,0,0,0,0,0,0,0,0
"Cypt2",0,0,0,0,0,0,0,0,0
"Tbx22",0,0,0,0,0,0,0,0,0
"Pcdh11x",0,0,0,0,0,0,0,0,0
"Tgif2lx1",0,0,0,0,0,0,0,0,0
"Zfp711",0,0,0,0,0,0,0,0,0
"Hdx",0,0,0,0,0,0,0,0,0
"4921511C20Rik",0,0,0,0,0,0,0,0,0
"Gm4994",0,0,0,0,0,0,0,0,0
"Gprasp2",4,3,4,3,4,10,0,11,2
"Nxf3",0,0,0,0,0,0,0,0,0
"Kir3dl2",0,0,0,0,0,0,0,0,0
"Kir3dl1",0,0,0,0,0,0,0,0,0
"Fam199x",64,88,40,32,23,11,25,34,23
"Pwwp3b",0,0,0,0,0,0,0,0,0
"Tbc1d8b",31,38,35,31,27,11,44,26,23
"Frmpd3",0,0,0,0,0,0,0,0,0
"Gucy2f",0,0,0,2,0,2,2,1,2
"Iqsec2",38,58,40,61,90,73,101,92,78
"Rragb",0,0,0,0,0,0,0,0,0
"Klf8",0,0,0,0,0,0,0,0,0
"Gm4997",1,4,1,2,5,1,1,5,3
"Klhl34",0,0,0,0,0,0,0,0,0
"Cnksr2",0,1,0,0,0,0,1,1,0
"Rbbp7",104,170,58,103,80,62,48,87,72
"Tceanc",12,20,17,2,5,1,12,16,13
"Fat2",0,0,2,0,0,0,0,0,0
"Trappc1",516,377,412,324,311,173,183,383,330
"Gzmn",0,0,0,0,0,0,0,0,0
"Polr2h",29,43,33,8,16,41,34,20,20
