Geneid	featureCounts on dataset 196: Counts	featureCounts on dataset 190: Counts	featureCounts on dataset 184: Counts	featureCounts on dataset 178: Counts	featureCounts on dataset 172: Counts	featureCounts on dataset 166: Counts	featureCounts on dataset 160: Counts	featureCounts on dataset 154: Counts	featureCounts on dataset 148: Counts
20516	42	41	19	55	66	65	47	34	42
20517	0	0	0	0	0	0	0	0	0
20518	0	0	0	0	0	0	0	0	0
20519	0	0	0	0	0	0	0	0	0
20520	11	8	3	6	6	8	4	3	4
20521	0	0	0	0	0	0	0	0	0
20522	0	0	0	0	0	0	0	0	0
20523	18	33	11	9	5	9	6	12	17
20524	101	114	68	73	102	140	82	107	105
20525	233	159	139	106	114	145	129	87	117
20526	0	0	0	0	0	0	0	0	0
20527	80	118	135	28	56	69	53	64	41
20528	0	0	0	0	0	0	0	0	0
20529	282	360	145	188	241	227	198	242	194
20530	406	736	181	99	195	251	254	233	225
20531	0	0	0	0	0	0	0	0	0
20532	0	0	0	0	0	0	3	0	1
20533	0	0	0	0	0	0	0	0	0
20534	48	103	47	49	76	71	60	38	49
20535	131	207	146	139	72	76	146	165	137
20536	4	5	0	10	18	11	8	11	7
20537	0	0	0	0	0	0	0	0	0
20538	7	54	2	0	0	3	2	1	0
20539	99	114	71	29	72	132	100	36	104
20540	493	766	405	484	692	667	697	651	743
20541	139	220	132	231	333	243	239	274	321
20544	87	166	101	106	209	155	166	138	184
20555	18	3	1	0	2	0	2	4	0
20556	1121	2244	806	470	390	344	364	513	505
20557	1	9	0	0	1	0	1	0	2
20558	18	1	16	0	0	5	1	6	0
20562	0	6	0	0	0	2	0	0	0
20563	0	0	0	0	0	0	0	1	0
20564	0	3	0	0	0	0	0	0	0
20568	18	0	24	0	9	9	1	1	2
20583	0	0	0	0	0	0	0	0	0
20585	118	195	118	192	271	219	178	255	262
20586	397	568	271	301	296	280	379	364	353
20587	169	178	83	107	115	152	127	116	131
20588	53	59	16	35	52	22	36	52	64
20589	33	75	22	22	31	19	61	36	28
20591	100	136	81	99	101	126	155	93	134
20592	0	0	0	0	0	0	0	0	0
20595	145	219	144	59	123	106	85	103	99
20597	94	107	83	159	271	162	203	153	183
20598	68	116	91	97	120	112	80	72	103
20599	0	0	0	0	0	0	0	0	0
20600	0	0	0	0	0	0	0	0	0
20602	126	228	99	103	137	182	191	176	157
20603	14	65	22	8	13	22	14	19	16
20604	0	11	1	0	0	3	0	1	0
20605	0	0	0	0	0	0	0	0	0
20606	0	0	0	0	0	0	0	0	0
20607	0	0	0	0	0	1	1	0	0
20608	0	0	0	0	0	0	0	0	0
20609	0	0	0	0	0	0	0	0	0
20610	213	466	237	152	260	335	214	209	264
20611	0	0	0	0	0	0	0	0	0
20612	29	13	10	34	28	29	27	12	29
20613	0	2	8	0	0	0	0	0	0
20614	6	19	0	1	7	3	7	7	4
20615	129	155	107	100	112	121	124	104	169
20616	3	4	0	0	0	0	0	1	0
20617	1	1	0	0	0	0	2	0	7
20618	0	0	0	0	0	0	0	0	0
20619	40	91	51	99	85	89	90	113	96
20620	6	7	11	2	0	2	5	2	2
20621	60	76	41	231	284	262	223	232	271
20623	72	40	71	48	86	48	44	57	144
20624	179	264	102	72	91	97	80	94	81
20630	43	82	36	35	42	23	27	30	36
20637	411	614	352	567	958	1200	715	781	969
20638	637	785	431	352	491	554	543	430	529
20639	150	197	126	99	128	101	84	142	104
20641	284	322	153	138	173	166	120	142	148
20643	150	251	79	122	92	58	84	110	112
20646	0	0	0	0	0	0	0	0	0
20648	104	141	154	280	481	235	294	258	437
20649	0	0	0	0	0	0	0	0	0
20650	8	30	15	8	24	7	1	20	8
20652	66	38	48	83	197	145	183	120	161
20655	405	374	307	396	465	621	449	510	543
20656	2186	3504	555	121	189	330	527	263	195
20657	0	0	0	0	0	0	0	0	0
20658	2331	3263	1693	2325	1879	1328	1575	2557	2297
20660	95	93	157	222	397	207	206	187	276
20661	442	298	541	426	804	591	440	392	688
20662	63	244	43	42	56	29	75	60	40
20663	46	70	60	37	46	35	32	46	58
20664	1	0	0	0	0	0	1	1	0
20665	0	0	0	0	1	3	0	0	0
20666	0	1	0	0	0	0	3	0	0
20667	2	12	1	5	2	18	4	3	18
20668	5	4	0	4	8	11	2	6	6
20669	0	0	0	0	0	0	0	0	0
20670	1	0	5	1	4	0	2	1	0
20671	0	0	0	0	0	0	0	0	0
20672	0	0	0	0	0	0	0	0	0
20674	0	0	0	0	0	0	1	0	4
20675	0	0	0	0	0	0	0	0	0
20677	274	138	157	116	140	107	156	169	166
20678	0	2	0	0	0	0	0	0	1
20679	0	0	0	0	0	0	0	0	0
20680	0	0	0	0	0	0	0	0	0
20681	0	0	0	0	0	0	0	2	0
20682	1	8	1	2	0	1	1	5	0
20683	106	131	128	124	114	73	99	101	134
20684	43	86	31	21	23	24	19	38	41
20686	2	5	3	0	7	0	3	6	4
20687	121	159	115	96	162	99	150	95	128
20688	27	18	25	23	9	9	13	22	28
20689	206	259	155	243	416	389	349	345	353
